Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Price_Change,Price_Change_5d,Price_Change_10d,Volatility_10d,Volatility_30d,Volume_SMA,Volume_Ratio,High_Low_Pct,Close_Position,Future_Return,Price_Direction,Future_Price,Future_Volatility,Symbol,Company,Fund_market_cap,Fund_pe_ratio,Fund_forward_pe,Fund_peg_ratio,Fund_price_to_book,Fund_price_to_sales,Fund_enterprise_value,Fund_ebitda,Fund_revenue,Fund_gross_profit,Fund_net_income,Fund_total_debt,Fund_total_cash,Fund_book_value,Fund_shares_outstanding,Fund_float_shares,Fund_beta,Fund_dividend_yield,Fund_sector,Fund_industry
174.76814563074643,177.64002479353724,174.46115503817452,176.2436981201172,67257600,0.0,0.0,,,176.2436981201172,176.2436981201172,0.0,0.0,,,,,,,,,,,,,1.803678536747557,0.5607474414249077,-0.010619717726983335,0,174.37203979492188,,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
175.7980702206982,177.88760394386657,175.4118538031827,177.33303833007812,51826900,0.0,0.0,,,176.8337574005127,176.80931707528921,0.024440325223480386,0.013577958457489103,,,,,,0.006180874672855108,,,,,,,1.3961020258817367,0.7760009765624986,-0.039705127426302056,0,170.29200744628906,,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
177.52120149038592,177.95693597912128,173.69864226300012,173.78778076171875,58436200,0.0,0.0,,,175.6449120149326,175.72370841457317,-0.0787963996405665,-0.02428038502532057,,,,,,-0.019992087214794285,,,,,,,2.450283729648246,0.02093291460407318,-0.028833763735192752,0,168.77682495117188,,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
172.85688574257026,174.58991092023126,172.17357625479622,172.24288940429688,63149100,0.0,0.0,,,174.5710264293627,174.7506235296273,-0.1795971002646013,-0.07689444845326118,,,,,,-0.008889528082184794,,,,,,,1.4028646835825582,0.02868524401531064,-0.018628273466505862,0,169.0343017578125,,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
172.97571228348323,175.36233909077248,172.36173107244514,173.09454345703125,56725400,0.0,0.0,,,174.16987128269594,174.36657173012622,-0.19670044743028825,-0.11253402454114404,,,,,,0.0049444946939745105,,,,,,,1.7335081501700877,0.24422129785369645,-0.02048162522950614,0,169.54928588867188,0.012348687270466771,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
172.51027081019092,175.2534062611611,172.46075278406465,174.37203979492188,46172700,0.0,0.0,,,174.21900886721272,174.36766693989307,-0.14865807268034814,-0.12232565004509172,,,,,,0.007380338584779045,-0.010619717726983335,,,,,,1.601548895327988,0.6843981992511317,-0.013232646513551383,0,172.06463623046875,0.014362564548581787,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
173.12426626356617,173.50057001651604,169.99491440180657,170.29200744628906,64588900,0.0,0.0,,,173.34271223966317,173.64283202661434,-0.30011978695117136,-0.1673206029800538,,,,,,-0.02339843218804638,-0.039705127426302056,,,,,,2.0586142986277083,0.08474678551878122,0.002558722438022798,1,170.7277374267578,0.009614249006780975,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
170.94558441007192,171.36150860467507,167.41022120055555,168.77682495117188,66921800,0.0,0.0,,,172.38988193706044,172.85879771525208,-0.46891577819164354,-0.23979959508192572,,,,,,-0.008897554957739806,-0.028833763735192752,,,,,,2.341131494364017,0.3458629076668871,0.018952065454004963,1,171.97549438476562,0.008271804617203202,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
167.69739077408406,170.36130007109168,165.9940736424088,169.0343017578125,56294400,0.0,0.0,,,171.72602874252678,172.2919234554406,-0.5658947129138312,-0.31512918506731763,,,,,,0.001525545978928733,-0.018628273466505862,,,,,,2.5836332526992694,0.6961462074501615,0.024723339368208475,1,173.21339416503906,0.008272712434410015,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
170.35142654777866,171.39124466953126,168.68771453081845,169.54928588867188,51861100,0.0,0.0,172.47264099121094,,171.3135368177002,171.91346616446197,-0.599929346761769,-0.3789409539135723,,,,,,0.0030466250074925316,-0.02048162522950614,,,,58323410.0,0.8891986939721117,1.5945393839570505,0.31868383692723645,0.03668001550094302,1,175.7683563232422,0.009211317043758544,AAPL,Apple Inc.,3546704773120,36.210606,28.759325,0,53.935905,8.679608,3593030860800,141696008192,408624988160,190739005440,99280003072,101698002944,55372001280,4.431,14840390000,14814419318,1.109,0.44,Technology,Consumer Electronics
